"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 03 23:25:04 CST 2025","Mon Mar 03 23:25:04 CST 2025","85","testCase","test_case","TestCase","","","test_case[dic3]",""
"passed","Mon Mar 03 23:25:03 CST 2025","Mon Mar 03 23:25:04 CST 2025","637","testCase","test_case","TestCase","","","test_case[dic0]",""
"passed","Mon Mar 03 23:25:04 CST 2025","Mon Mar 03 23:25:04 CST 2025","71","testCase","test_case","TestCase","","","test_case[dic2]",""
"failed","Mon Mar 03 23:25:04 CST 2025","Mon Mar 03 23:25:04 CST 2025","151","testCase","test_case","TestCase","","","test_case[dic1]",""
