"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 03 23:30:59 CST 2025","Mon Mar 03 23:30:59 CST 2025","73","testCase","test_case","TestCase","","","test_case[dic3]",""
"failed","Mon Mar 03 23:30:59 CST 2025","Mon Mar 03 23:30:59 CST 2025","161","testCase","test_case","TestCase","","","test_case[dic1]",""
"passed","Mon Mar 03 23:30:59 CST 2025","Mon Mar 03 23:30:59 CST 2025","61","testCase","test_case","TestCase","","","test_case[dic2]",""
"passed","Mon Mar 03 23:30:58 CST 2025","Mon Mar 03 23:30:59 CST 2025","645","testCase","test_case","TestCase","","","test_case[dic0]",""
