"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 03 23:22:04 CST 2025","Mon Mar 03 23:22:06 CST 2025","2310","testCase","test_case","TestCase","","","test_case[dic0]",""
"failed","Mon Mar 03 23:22:06 CST 2025","Mon Mar 03 23:22:07 CST 2025","73","testCase","test_case","TestCase","","","test_case[dic3]",""
"failed","Mon Mar 03 23:22:06 CST 2025","Mon Mar 03 23:22:06 CST 2025","156","testCase","test_case","TestCase","","","test_case[dic1]",""
"passed","Mon Mar 03 23:22:06 CST 2025","Mon Mar 03 23:22:06 CST 2025","70","testCase","test_case","TestCase","","","test_case[dic2]",""
