"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 03 23:03:31 CST 2025","Mon Mar 03 23:03:32 CST 2025","634","testCase","test_case","TestCase","","","test_case[dic0]",""
"failed","Mon Mar 03 23:03:32 CST 2025","Mon Mar 03 23:03:32 CST 2025","67","testCase","test_case","TestCase","","","test_case[dic3]",""
"passed","Mon Mar 03 23:03:32 CST 2025","Mon Mar 03 23:03:32 CST 2025","79","testCase","test_case","TestCase","","","test_case[dic2]",""
"failed","Mon Mar 03 23:03:32 CST 2025","Mon Mar 03 23:03:32 CST 2025","141","testCase","test_case","TestCase","","","test_case[dic1]",""
